	cancer	sample	D_APOBEC_inRloops	D_APOBEC_outsideRloops
176	HNSC	ef673d3d-2031-4036-ba25-4bc7ef04075b	1.8010581746499062e-05	1.223862597901855e-05
177	HNSC	feccc27e-5c2e-4339-8746-0945fee93c1e	8.828716542401501e-07	1.731683186260152e-06
178	LUAD	0176cf1d-0760-4769-a493-277f4bb7585e	6.53325024137711e-06	1.3730629831540272e-05
179	LUAD	020fab36-c7de-4933-b2bf-dc7b019a1326	3.943493388939336e-06	5.9620234267434306e-06
180	LUAD	09bc8542-4ea1-4599-91b3-d606425b37e2	1.483224379123452e-05	2.009411614229557e-05
181	LUAD	0b19bee7-5281-4915-9d98-c20eb3e84ecf	3.360798097140838e-05	4.9991117034492906e-05
182	LUAD	0ce6f3ed-bdbc-4b70-9db4-2e48f4bf644d	5.885811028267667e-08	3.8648292565321733e-07
183	LUAD	14bf9bfb-14d6-4cac-a556-828f680e8a15	1.1477331505121951e-05	1.6175359035672253e-05
184	LUAD	15e097e3-e468-466c-8e57-b59fba90bbf2	2.2954663010243902e-06	5.4077649674733125e-06
185	LUAD	199bbb0f-996c-40c1-b06d-2066f04be778	1.1241899063991244e-05	1.610345523555072e-05
186	LUAD	23d77176-dfed-4bee-ac96-9934377d8d81	2.2189507576569104e-05	4.282470495571386e-05
187	LUAD	23d86395-9e20-4cf9-bf7e-f76544a1f772	2.0070615606392745e-05	1.445565981609902e-05
188	LUAD	2bde43e2-fd4e-413e-adc7-c50bca75d358	5.1795137048755465e-06	1.5138745917253545e-05
189	LUAD	309f5324-5608-4f62-b744-5ab268b70927	6.474392131094433e-07	1.2673044771419453e-06
190	LUAD	37d0cf1b-1743-4852-8073-372b16b5c17d	1.8834595290456535e-06	2.8282161381134666e-06
191	LUAD	3b20d548-2a7d-4031-85a1-425ca7201d7a	6.580336729603252e-05	0.00010335272469968248
192	LUAD	46693a2b-5105-4770-a9e1-031dfedeb694	3.325483230971232e-05	4.2162590796261455e-05
193	LUAD	49dec0c2-8e75-4f44-a253-82b2ea605890	3.460856884621388e-05	4.925410308324723e-05
194	LUAD	52910a60-bb15-4ba5-9d09-50d8ee6a445b	2.2954663010243902e-06	3.2027150970797624e-06
195	LUAD	53bb7112-3e38-45fe-a9c4-1b0871babf4a	5.650378587136961e-06	1.5090810050505858e-05
196	LUAD	53d32d8b-5649-42b0-8c52-2c39af2a961b	3.6492028375259534e-06	7.3611515374415115e-06
197	LUAD	5a7f3c88-ef02-4e97-8009-5622245b6a09	7.651554336747967e-07	8.868135348321886e-07
198	LUAD	6726c157-f688-491d-8b56-35628645df89	1.5303108673495935e-06	3.5083062475962598e-06
199	LUAD	68c2a355-862c-4657-b296-5776ed8447b0	1.7657433084803001e-06	2.196061895378359e-06
200	LUAD	9c7b3ac8-1352-49cd-8a8c-df6b19f6fd64	1.7657433084803002e-07	3.2955908389034037e-07
201	LUAD	9ffcb7fa-424c-4f93-87a7-ce5e9053c613	7.828128667595997e-06	1.6025559452085732e-05
202	LUAD	b7f11036-7ac4-41bc-a9a4-64162725fdfc	4.879337342433896e-05	6.0596927552418405e-05
203	LUAD	bce88385-4a1b-4a8c-920c-060f6a2675d4	1.94231763932833e-05	2.9914976842227714e-05
204	LUAD	bd3e88b3-b37c-4641-85fa-d8125ba324ca	1.1006466622860537e-05	3.229679022125336e-05
205	LUAD	bf7462a2-394f-4838-bcb6-4d0126fa48b1	2.1777500804590367e-06	3.715029672945655e-06
206	LUAD	c437535b-2acc-4236-beae-94e2c1336830	5.061797484310194e-06	7.442043312578232e-06
207	LUAD	cd0aeed5-93a1-4287-8a88-fe6b7b5e3983	4.708648822614133e-06	6.836852994888698e-06
208	LUAD	d5443922-fea5-4ff0-bd6e-8ce04e1951d8	9.240723314380236e-06	2.073525836004587e-05
209	LUAD	d9cd7f95-07d3-4b87-be83-87340b08d249	1.23602031593621e-06	1.5219637692390263e-06
210	LUAD	dd09c7aa-744a-413d-839f-e75e1825f9f9	4.708648822614133e-06	3.3944585640705056e-06
211	LUAD	de614a3e-1c0d-49c7-a2f1-28bc58e6e5c7	4.473216381483427e-06	8.751291673124402e-06
212	LUAD	f5a97315-1906-4774-980e-0879c6ad368e	1.006473685833771e-05	1.8320489072631193e-05
213	LUAD	fa2c3620-7e82-4b12-b135-87986f0f2890	1.6480270879149468e-06	3.2746188972012912e-06
214	LUAD	fa6a60f5-8949-4e01-9435-d3117601627f	1.94231763932833e-06	2.6933965128856e-06
215	LUAD	fa8844f8-c4b6-487a-8187-e30c12a7a453	1.8834595290456535e-06	6.060891151910532e-06
216	LUSC	0bbc7ede-5022-4084-925c-d65baaf7abc2	4.06120960950469e-06	1.3083495630446513e-05
217	LUSC	0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f	3.88463527865666e-06	1.1028245343639481e-05
218	LUSC	1c3df485-8e75-4378-87f6-c6463a520624	2.47204063187242e-05	3.087669016885316e-05
219	LUSC	2045c788-9ea8-4ea5-a5e3-65fc16a62adb	0.00015797516799870417	0.0001843343795865543
220	LUSC	24badf07-8615-48a3-8d6e-45c3d783f18d	3.237196065547217e-06	5.938055493369587e-06
221	LUSC	25224aa0-cfdd-48ec-92e5-8f3992a3e574	8.240135439574734e-06	2.0840118068556434e-05
